Tanggal,Prediksi Kurs (IDR)
2026-05-25,17716
2026-05-26,17725
2026-05-27,17731
2026-05-28,17737
2026-05-29,17743
2026-06-01,17748
2026-06-02,17753
2026-06-03,17758
2026-06-04,17763
2026-06-05,17767
2026-06-08,17771
2026-06-09,17776
2026-06-10,17780
2026-06-11,17784
2026-06-12,17788
2026-06-15,17793
2026-06-16,17797
2026-06-17,17801
2026-06-18,17805
2026-06-19,17809
2026-06-22,17813
2026-06-23,17818
2026-06-24,17822
2026-06-25,17826
2026-06-26,17830
2026-06-29,17834
2026-06-30,17838
2026-07-01,17842
2026-07-02,17847
2026-07-03,17851
